date,소비자물가등락률
1965-02,2.2
1965-03,0.2
1965-04,1.6
1965-05,2
1965-06,-0.9
1965-07,1.3
1965-08,1.1
1965-09,-0.5
1965-10,-0.6
1965-11,-1.7
1965-12,0.3
1966-01,2.4
1966-02,2.8
1966-03,1.6
1966-04,1
1966-05,2.8
1966-06,0.1
1966-07,-0.4
1966-08,2.1
1966-09,1.9
1966-10,2.6
1966-11,-2.5
1966-12,0.1
1967-01,0.6
1967-02,1.4
1967-03,1.4
1967-04,2.7
1967-05,1
1967-06,-1.1
1967-07,0.2
1967-08,1.2
1967-09,1.6
1967-10,1.6
1967-11,0.6
1967-12,-0.1
1968-01,2
1968-02,1.5
1968-03,1
1968-04,-0.1
1968-05,0.2
1968-06,0.4
1968-07,-0.1
1968-08,0.6
1968-09,0.5
1968-10,2.7
1968-11,2.4
1968-12,-0.6
1969-01,2.6
1969-02,0.6
1969-03,0.8
1969-04,0.5
1969-05,0.6
1969-06,0.4
1969-07,0
1969-08,0.5
1969-09,3.2
1969-10,2.7
1969-11,1.1
1969-12,2.2
1970-01,1.4
1970-02,2
1970-03,2.2
1970-04,2.1
1970-05,-1
1970-06,-2.1
1970-07,0.7
1970-08,0.7
1970-09,2.4
1970-10,2
1970-11,-0.2
1970-12,3.5
1971-01,2.6
1971-02,2
1971-03,1.9
1971-04,-0.4
1971-05,-1.8
1971-06,-0.2
1971-07,1.8
1971-08,0.9
1971-09,1.7
1971-10,-0.8
1971-11,0.2
1971-12,1
1972-01,1.5
1972-02,3.2
1972-03,2.8
1972-04,0.7
1972-05,0.4
1972-06,0.5
1972-07,1.1
1972-08,1.6
1972-09,0.1
1972-10,-1.1
1972-11,-1.8
1972-12,0.1
1973-01,0.3
1973-02,0.3
1973-03,0.2
1973-04,0.5
1973-05,0.6
1973-06,-0.2
1973-07,0.5
1973-08,1
1973-09,0.8
1973-10,0.1
1973-11,1.2
1973-12,2.8
1974-01,4.3
1974-02,5.3
1974-03,3.8
1974-04,1.9
1974-05,0.5
1974-06,-0.7
1974-07,2.2
1974-08,3.1
1974-09,1.7
1974-10,-0.9
1974-11,1.3
1974-12,1.6
1975-01,3.5
1975-02,1.8
1975-03,1.9
1975-04,3.2
1975-05,3.6
1975-06,1.3
1975-07,1.8
1975-08,2.2
1975-09,3.5
1975-10,1.4
1975-11,-0.7
1975-12,0.5
1976-01,0.6
1976-02,1.1
1976-03,1.7
1976-04,1.1
1976-05,0.6
1976-06,1
1976-07,1.9
1976-08,1
1976-09,0.8
1976-10,-1.1
1976-11,-0.1
1976-12,0.6
1977-01,0.7
1977-02,2.4
1977-03,1.4
1977-04,0.1
1977-05,1
1977-06,1
1977-07,1.3
1977-08,1.3
1977-09,0.3
1977-10,-0.3
1977-11,0.4
1977-12,0.9
1978-01,2.9
1978-02,2.1
1978-03,1.3
1978-04,-0.1
1978-05,1
1978-06,2.8
1978-07,1.4
1978-08,0.2
1978-09,2
1978-10,0.9
1978-11,0.5
1978-12,0.4
1979-01,0.9
1979-02,3.5
1979-03,1.8
1979-04,2.4
1979-05,3.1
1979-06,0.9
1979-07,0.5
1979-08,0.3
1979-09,1.4
1979-10,0.7
1979-11,1.5
1979-12,2.4
1980-01,4.3
1980-02,4.3
1980-03,3.7
1980-04,0.7
1980-05,3.1
1980-06,1.2
1980-07,0.8
1980-08,1.7
1980-09,1.9
1980-10,2.8
1980-11,0.6
1980-12,3.2
1981-01,1.6
1981-02,0.8
1981-03,1.9
1981-04,0.9
1981-05,2.2
1981-06,2.8
1981-07,1
1981-08,1.1
1981-09,1.3
1981-10,-0.2
1981-11,-0.9
1981-12,0.6
1982-01,0.5
1982-02,0.5
1982-03,0.9
1982-04,0.2
1982-05,0.8
1982-06,0.6
1982-07,0.2
1982-08,0.3
1982-09,0.5
1982-10,-0.2
1982-11,-0.6
1982-12,1.1
1983-01,0.8
1983-02,0.7
1983-03,0.4
1983-04,-0.3
1983-05,0.3
1983-06,-0.1
1983-07,0
1983-08,0.1
1983-09,0.1
1983-10,-0.1
1983-11,-0.2
1983-12,0.3
1984-01,0.6
1984-02,0.9
1984-03,0.4
1984-04,0.3
1984-05,-0.1
1984-06,-0.5
1984-07,0
1984-08,0.5
1984-09,1.2
1984-10,-0.5
1984-11,-0.2
1984-12,0
1985-01,0.3
1985-02,0.7
1985-03,0.1
1985-04,0.1
1985-05,0.7
1985-06,0.1
1985-07,0
1985-08,0.2
1985-09,1.1
1985-10,0.3
1985-11,-1.2
1985-12,0.6
1986-01,0.9
1986-02,0.6
1986-03,0.2
1986-04,-0.1
1986-05,0.6
1986-06,-0.2
1986-07,0.1
1986-08,-0.1
1986-09,0.6
1986-10,-1
1986-11,-0.2
1986-12,0
1987-01,0.4
1987-02,0.2
1987-03,0.8
1987-04,0.6
1987-05,1.5
1987-06,-0.1
1987-07,-0.3
1987-08,1.4
1987-09,0.7
1987-10,0.1
1987-11,-0.2
1987-12,0.8
1988-01,0.6
1988-02,1.6
1988-03,1.4
1988-04,-0.2
1988-05,0.5
1988-06,0.6
1988-07,0.2
1988-08,0.5
1988-09,0.3
1988-10,-0.3
1988-11,0.8
1988-12,0.9
1989-01,0.2
1989-02,0.3
1989-03,0.7
1989-04,0.4
1989-05,1.3
1989-06,0.2
1989-07,-0.1
1989-08,0.8
1989-09,0.9
1989-10,0.2
1989-11,0.2
1989-12,-0.1
1990-01,2.3
1990-02,0.6
1990-03,1
1990-04,1.1
1990-05,1.1
1990-06,0.5
1990-07,0.3
1990-08,0.4
1990-09,0.6
1990-10,0.3
1990-11,0.1
1990-12,0.6
1991-01,2.1
1991-02,1.3
1991-03,1.2
1991-04,0.5
1991-05,0.3
1991-06,0.6
1991-07,0.6
1991-08,0.8
1991-09,0.5
1991-10,0.2
1991-11,0.4
1991-12,0.2
1992-01,0.7
1992-02,0.6
1992-03,1.1
1992-04,0.6
1992-05,0.6
1992-06,0.2
1992-07,0.4
1992-08,0.2
1992-09,0.3
1992-10,-0.1
1992-11,-0.5
1992-12,0.3
1993-01,0.8
1993-02,0.7
1993-03,1.3
1993-04,0.6
1993-05,0.3
1993-06,0.5
1993-07,-0.1
1993-08,0.3
1993-09,0.5
1993-10,0.4
1993-11,-0.2
1993-12,0.6
1994-01,1.3
1994-02,1.1
1994-03,0.9
1994-04,0.2
1994-05,0.1
1994-06,0.7
1994-07,0.9
1994-08,0.8
1994-09,-0.3
1994-10,-0.3
1994-11,0.2
1994-12,0.1
1995-01,0.9
1995-02,0.4
1995-03,1
1995-04,0.6
1995-05,0.2
1995-06,-0.3
1995-07,0.3
1995-08,0.6
1995-09,0.9
1995-10,-0.5
1995-11,-0.2
1995-12,0.7
1996-01,1
1996-02,0.4
1996-03,0.7
1996-04,0.7
1996-05,0.6
1996-06,0
1996-07,0.5
1996-08,0.5
1996-09,0.2
1996-10,0
1996-11,0
1996-12,0.4
1997-01,0.8
1997-02,0.6
1997-03,0.4
1997-04,0.5
1997-05,0.1
1997-06,0.2
1997-07,0.2
1997-08,0.7
1997-09,0.5
1997-10,0
1997-11,0.1
1997-12,2.5
1998-01,2.4
1998-02,1.7
1998-03,-0.2
1998-04,0.3
1998-05,-0.5
1998-06,-0.4
1998-07,0
1998-08,0.3
1998-09,0.4
1998-10,0.3
1998-11,-0.3
1998-12,-0.2
1999-01,-0.1
1999-02,0.4
1999-03,0.2
1999-04,0.3
1999-05,-0.2
1999-06,-0.6
1999-07,-0.3
1999-08,1
1999-09,0.3
1999-10,0.8
1999-11,-0.2
1999-12,-0.2
2000-01,0.4
2000-02,0.3
2000-03,0.5
2000-04,-0.4
2000-05,-0.5
2000-06,0.5
2000-07,0.4
2000-08,0.5
2000-09,1.3
2000-10,-0.1
2000-11,-0.6
2000-12,0.4
2001-01,1.1
2001-02,0.5
2001-03,0.9
2001-04,0.4
2001-05,-0.1
2001-06,0.3
2001-07,0.2
2001-08,0.4
2001-09,-0.1
2001-10,0
2001-11,-0.6
2001-12,0.2
2002-01,0.6
2002-02,0.5
2002-03,0.6
2002-04,0.6
2002-05,0.4
2002-06,-0.1
2002-07,-0.3
2002-08,0.7
2002-09,0.6
2002-10,-0.3
2002-11,0.1
2002-12,0.5
2003-01,0.6
2003-02,0.5
2003-03,1.2
2003-04,-0.2
2003-05,-0.2
2003-06,-0.3
2003-07,-0.1
2003-08,0.5
2003-09,0.9
2003-10,0.1
2003-11,-0.2
2003-12,0.5
2004-01,0.6
2004-02,0.4
2004-03,1
2004-04,0
2004-05,-0.1
2004-06,0
2004-07,0.6
2004-08,0.9
2004-09,0
2004-10,0
2004-11,-0.6
2004-12,0.2
2005-01,1
2005-02,0.4
2005-03,0.6
2005-04,0.1
2005-05,-0.1
2005-06,-0.3
2005-07,0.4
2005-08,0.3
2005-09,0.5
2005-10,-0.2
2005-11,-0.4
2005-12,0.3
2006-01,0.6
2006-02,0.2
2006-03,0.6
2006-04,0.1
2006-05,0.2
2006-06,-0.2
2006-07,0.4
2006-08,0.6
2006-09,0.3
2006-10,-0.5
2006-11,-0.5
2006-12,0.3
2007-01,0.2
2007-02,0.7
2007-03,0.6
2007-04,0.4
2007-05,0.1
2007-06,0
2007-07,0.4
2007-08,0.1
2007-09,0.6
2007-10,0.2
2007-11,0
2007-12,0.4
2008-01,0.5
2008-02,0.4
2008-03,0.9
2008-04,0.6
2008-05,0.8
2008-06,0.6
2008-07,0.7
2008-08,-0.2
2008-09,0.1
2008-10,-0.1
2008-11,-0.3
2008-12,0
2009-01,0.1
2009-02,0.7
2009-03,0.7
2009-04,0.3
2009-05,0
2009-06,-0.1
2009-07,0.4
2009-08,0.4
2009-09,0.1
2009-10,-0.3
2009-11,0.2
2009-12,0.4
2010-01,0.8
2010-02,0.2
2010-03,0.2
2010-04,0.4
2010-05,0.1
2010-06,-0.1
2010-07,0.2
2010-08,0.5
2010-09,0.8
2010-10,0
2010-11,-0.5
2010-12,0.4
2011-01,1.2
2011-02,0.7
2011-03,0.4
2011-04,0.1
2011-05,0.2
2011-06,0.2
2011-07,0.5
2011-08,0.7
2011-09,-0.1
2011-10,-0.2
2011-11,0.1
2011-12,0.4
2012-01,0.4
2012-02,0.4
2012-03,0
2012-04,0
2012-05,0.2
2012-06,-0.1
2012-07,-0.2
2012-08,0.5
2012-09,0.7
2012-10,-0.2
2012-11,-0.4
2012-12,0.2
2013-01,0.6
2013-02,0.3
2013-03,-0.1
2013-04,-0.1
2013-05,0
2013-06,-0.1
2013-07,0.2
2013-08,0.4
2013-09,0.2
2013-10,-0.3
2013-11,0
2013-12,0.1
2014-01,0.5
2014-02,0.3
2014-03,0.2
2014-04,0.1
2014-05,0.2
2014-06,-0.1
2014-07,0.1
2014-08,0.2
2014-09,-0.1
2014-10,-0.3
2014-11,-0.2
2014-12,0
2015-01,0.7
2015-02,-0.1
2015-03,0
2015-04,0
2015-05,0.3
2015-06,0
2015-07,0.2
2015-08,0.1
2015-09,-0.3
2015-10,0
2015-11,-0.2
2015-12,0.3
2016-01,0.2
2016-02,0.4
2016-03,-0.3
2016-04,0.2
2016-05,0.1
2016-06,0
2016-07,-0.2
2016-08,0.3
2016-09,0.6
2016-10,0.1
2016-11,-0.1
2016-12,0.1
2017-01,1.1
2017-02,0.3
2017-03,-0.1
2017-04,-0.1
2017-05,0.1
2017-06,-0.2
2017-07,0.2
2017-08,0.6
2017-09,0.1
2017-10,-0.1
2017-11,-0.7
2017-12,0.4
2018-01,0.4
2018-02,0.8
2018-03,-0.1
2018-04,0.2
2018-05,0
2018-06,-0.2
2018-07,-0.2
2018-08,0.9
2018-09,0.8
2018-10,-0.2
2018-11,-0.7
2018-12,-0.3
2019-01,-0.1
2019-02,0.4
2019-03,-0.2
2019-04,0.4
2019-05,0.2
2019-06,-0.2
2019-07,-0.3
2019-08,0.2
2019-09,0.4
2019-10,0.2
2019-11,-0.6
2019-12,0.2
2020-01,0.4
2020-02,0.1
2020-03,-0.2
2020-04,-0.4
