date,cpi
1965-01,2.493
1965-02,2.548
1965-03,2.553
1965-04,2.593
1965-05,2.645
1965-06,2.621
1965-07,2.654
1965-08,2.682
1965-09,2.668
1965-10,2.652
1965-11,2.607
1965-12,2.615
1966-01,2.678
1966-02,2.754
1966-03,2.798
1966-04,2.827
1966-05,2.906
1966-06,2.91
1966-07,2.897
1966-08,2.957
1966-09,3.012
1966-10,3.09
1966-11,3.012
1966-12,3.014
1967-01,3.031
1967-02,3.074
1967-03,3.117
1967-04,3.201
1967-05,3.232
1967-06,3.196
1967-07,3.201
1967-08,3.24
1967-09,3.292
1967-10,3.344
1967-11,3.365
1967-12,3.362
1968-01,3.428
1968-02,3.481
1968-03,3.516
1968-04,3.514
1968-05,3.521
1968-06,3.535
1968-07,3.533
1968-08,3.555
1968-09,3.573
1968-10,3.67
1968-11,3.757
1968-12,3.733
1969-01,3.83
1969-02,3.853
1969-03,3.883
1969-04,3.903
1969-05,3.928
1969-06,3.942
1969-07,3.942
1969-08,3.962
1969-09,4.09
1969-10,4.2
1969-11,4.247
1969-12,4.341
1970-01,4.4
1970-02,4.488
1970-03,4.586
1970-04,4.684
1970-05,4.637
1970-06,4.539
1970-07,4.571
1970-08,4.604
1970-09,4.716
1970-10,4.809
1970-11,4.8
1970-12,4.967
1971-01,5.098
1971-02,5.199
1971-03,5.297
1971-04,5.274
1971-05,5.18
1971-06,5.172
1971-07,5.264
1971-08,5.311
1971-09,5.4
1971-10,5.357
1971-11,5.366
1971-12,5.418
1972-01,5.501
1972-02,5.677
1972-03,5.836
1972-04,5.874
1972-05,5.898
1972-06,5.93
1972-07,5.993
1972-08,6.087
1972-09,6.092
1972-10,6.022
1972-11,5.911
1972-12,5.915
1973-01,5.934
1973-02,5.952
1973-03,5.961
1973-04,5.993
1973-05,6.028
1973-06,6.013
1973-07,6.046
1973-08,6.106
1973-09,6.157
1973-10,6.166
1973-11,6.241
1973-12,6.417
1974-01,6.692
1974-02,7.045
1974-03,7.31
1974-04,7.446
1974-05,7.483
1974-06,7.427
1974-07,7.589
1974-08,7.827
1974-09,7.957
1974-10,7.883
1974-11,7.989
1974-12,8.114
1975-01,8.394
1975-02,8.546
1975-03,8.707
1975-04,8.982
1975-05,9.304
1975-06,9.427
1975-07,9.598
1975-08,9.807
1975-09,10.148
1975-10,10.29
1975-11,10.214
1975-12,10.262
1976-01,10.328
1976-02,10.441
1976-03,10.622
1976-04,10.735
1976-05,10.801
1976-06,10.905
1976-07,11.115
1976-08,11.228
1976-09,11.313
1976-10,11.19
1976-11,11.18
1976-12,11.247
1977-01,11.331
1977-02,11.598
1977-03,11.758
1977-04,11.768
1977-05,11.89
1977-06,12.005
1977-07,12.157
1977-08,12.318
1977-09,12.355
1977-10,12.318
1977-11,12.365
1977-12,12.479
1978-01,12.839
1978-02,13.104
1978-03,13.274
1978-04,13.255
1978-05,13.388
1978-06,13.757
1978-07,13.956
1978-08,13.985
1978-09,14.268
1978-10,14.392
1978-11,14.468
1978-12,14.524
1979-01,14.648
1979-02,15.16
1979-03,15.435
1979-04,15.813
1979-05,16.307
1979-06,16.458
1979-07,16.533
1979-08,16.59
1979-09,16.818
1979-10,16.931
1979-11,17.187
1979-12,17.604
1980-01,18.368
1980-02,19.163
1980-03,19.876
1980-04,20.022
1980-05,20.652
1980-06,20.904
1980-07,21.073
1980-08,21.428
1980-09,21.827
1980-10,22.435
1980-11,22.561
1980-12,23.273
1981-01,23.651
1981-02,23.84
1981-03,24.301
1981-04,24.51
1981-05,25.056
1981-06,25.747
1981-07,25.999
1981-08,26.272
1981-09,26.607
1981-10,26.544
1981-11,26.314
1981-12,26.461
1982-01,26.587
1982-02,26.712
1982-03,26.963
1982-04,27.006
1982-05,27.216
1982-06,27.383
1982-07,27.446
1982-08,27.53
1982-09,27.655
1982-10,27.592
1982-11,27.425
1982-12,27.739
1983-01,27.95
1983-02,28.138
1983-03,28.242
1983-04,28.16
1983-05,28.242
1983-06,28.221
1983-07,28.221
1983-08,28.242
1983-09,28.284
1983-10,28.263
1983-11,28.201
1983-12,28.284
1984-01,28.452
1984-02,28.704
1984-03,28.809
1984-04,28.893
1984-05,28.85
1984-06,28.704
1984-07,28.704
1984-08,28.85
1984-09,29.186
1984-10,29.04
1984-11,28.976
1984-12,28.976
1985-01,29.052
1985-02,29.259
1985-03,29.289
1985-04,29.319
1985-05,29.526
1985-06,29.555
1985-07,29.555
1985-08,29.614
1985-09,29.939
1985-10,30.028
1985-11,29.674
1985-12,29.85
1986-01,30.117
1986-02,30.293
1986-03,30.353
1986-04,30.323
1986-05,30.501
1986-06,30.442
1986-07,30.471
1986-08,30.442
1986-09,30.619
1986-10,30.323
1986-11,30.265
1986-12,30.265
1987-01,30.382
1987-02,30.442
1987-03,30.677
1987-04,30.855
1987-05,31.327
1987-06,31.299
1987-07,31.209
1987-08,31.653
1987-09,31.86
1987-10,31.89
1987-11,31.831
1987-12,32.096
1988-01,32.273
1988-02,32.805
