date,경제활동인구,비경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율
1999-06,22088.0,13649.0,20599.0,1489.0,6.7,57.6,61.8
1999-07,22062.0,13717.0,20586.0,1476.0,6.7,57.5,61.7
1999-08,21896.0,13918.0,20532.0,1364.0,6.2,57.3,61.1
1999-09,22155.0,13694.0,20999.0,1155.0,5.2,58.6,61.8
1999-10,22277.0,13608.0,21170.0,1108.0,5.0,59.0,62.1
1999-11,22184.0,13732.0,21129.0,1055.0,4.8,58.8,61.8
1999-12,21813.0,14140.0,20673.0,1140.0,5.2,57.5,60.7
2000-01,21441.8,14536.0,20209.8,1232.0,5.7,56.2,59.6
2000-02,21458.2,14552.8,20234.7,1223.5,5.7,56.2,59.6
2000-03,21809.7,14234.0,20696.3,1113.4,5.1,57.4,60.5
2000-04,22104.2,13976.9,21115.1,989.1,4.5,58.5,61.3
2000-05,22336.7,13789.7,21419.9,916.8,4.1,59.3,61.8
2000-06,22345.8,13821.6,21475.5,870.3,3.9,59.4,61.8
2000-07,22508.7,13706.8,21616.3,892.4,4.0,59.7,62.2
2000-08,22287.3,13971.9,21379.5,907.7,4.1,59.0,61.5
2000-09,22467.8,13833.3,21561.3,906.5,4.0,59.4,61.9
2000-10,22573.1,13765.4,21731.1,842.0,3.7,59.8,62.1
2000-11,22434.4,13938.5,21565.6,868.8,3.9,59.3,61.7
2000-12,22044.3,14369.7,21070.7,973.6,4.4,57.9,60.5
2001-01,21610.4,14816.2,20518.0,1092.4,5.1,56.3,59.3
2001-02,21651.8,14804.9,20469.5,1182.2,5.5,56.1,59.4
2001-03,22086.5,14400.7,20959.1,1127.4,5.1,57.4,60.5
2001-04,22622.4,13892.7,21697.3,925.1,4.1,59.4,62.0
2001-05,22809.2,13740.0,21969.2,840.1,3.7,60.1,62.4
2001-06,22794.4,13792.6,21979.0,815.4,3.6,60.1,62.3
2001-07,22841.4,13785.9,22014.0,827.4,3.6,60.1,62.4
2001-08,22606.4,14058.3,21783.2,823.2,3.6,59.4,61.7
2001-09,22798.7,13896.2,22043.1,755.6,3.3,60.1,62.1
2001-10,22903.5,13824.5,22138.8,764.7,3.3,60.3,62.4
2001-11,22891.4,13873.1,22116.0,775.4,3.4,60.2,62.3
2001-12,22519.3,14277.1,21676.7,842.6,3.7,58.9,61.2
2002-01,22306.2,14529.2,21384.8,921.4,4.1,58.1,60.6
2002-02,22377.4,14493.5,21465.5,911.9,4.1,58.2,60.7
2002-03,22687.4,14215.0,21823.5,863.9,3.8,59.1,61.5
2002-04,23147.3,13786.3,22363.1,784.2,3.4,60.5,62.7
2002-05,23248.0,13715.3,22518.3,729.7,3.1,60.9,62.9
2002-06,23260.9,13736.1,22579.0,682.0,2.9,61.0,62.9
2002-07,23303.8,13728.5,22595.5,708.3,3.0,61.0,62.9
2002-08,23025.1,14039.2,22289.3,735.8,3.2,60.1,62.1
2002-09,23194.3,13899.5,22561.9,632.3,2.7,60.8,62.5
2002-10,23275.2,13856.0,22613.5,661.7,2.8,60.9,62.7
2002-11,23127.0,14030.1,22463.9,663.0,2.9,60.5,62.2
2002-12,22835.2,14354.4,22119.5,715.7,3.1,59.5,61.4
2003-01,22476.4,14751.6,21633.6,842.8,3.7,58.1,60.4
2003-02,22432.7,14829.6,21570.1,862.7,3.8,57.9,60.2
2003-03,22759.3,14536.7,21910.5,848.8,3.7,58.7,61.0
2003-04,23030.4,14302.5,22235.1,795.2,3.5,59.6,61.7
2003-05,23240.9,14130.5,22453.4,787.6,3.4,60.1,62.2
2003-06,23266.3,14134.7,22468.7,797.6,3.4,60.1,62.2
2003-07,23370.6,14066.2,22540.0,830.6,3.6,60.2,62.4
2003-08,23024.4,14437.9,22211.3,813.1,3.5,59.3,61.5
2003-09,23161.4,14329.0,22389.0,772.4,3.3,59.7,61.8
2003-10,23347.6,14172.6,22543.4,804.3,3.4,60.1,62.2
2003-11,23343.6,14203.0,22515.9,827.7,3.5,60.0,62.2
2003-12,23060.5,14516.2,22188.2,872.3,3.8,59.0,61.4
2004-01,22941.0,14673.3,22028.7,912.3,4.0,58.6,61.0
2004-02,23059.3,14583.1,22104.1,955.2,4.1,58.7,61.3
2004-03,23416.5,14253.8,22482.4,934.1,4.0,59.7,62.2
2004-04,23666.1,14031.2,22800.8,865.3,3.7,60.5,62.8
2004-05,23712.0,14012.8,22878.9,833.1,3.5,60.6,62.9
2004-06,23773.6,13983.5,22970.9,802.7,3.4,60.8,63.0
2004-07,23768.4,14023.3,22901.7,866.7,3.6,60.6,62.9
2004-08,23373.8,14446.6,22524.8,849.0,3.6,59.6,61.8
2004-09,23735.1,14112.6,22943.8,791.3,3.3,60.6,62.7
2004-10,23840.4,14035.0,23031.0,809.4,3.4,60.8,62.9
2004-11,23738.4,14160.3,22917.6,820.8,3.5,60.5,62.6
2004-12,23497.7,14422.9,22597.7,899.9,3.8,59.6,62.0
2005-01,23141.4,14802.8,22157.7,983.7,4.3,58.4,61.0
2005-02,23127.3,14847.6,22134.7,992.7,4.3,58.3,60.9
2005-03,23549.5,14451.8,22590.3,959.2,4.1,59.4,62.0
2005-04,23823.3,14203.8,22919.0,904.3,3.8,60.3,62.6
2005-05,23995.3,14058.7,23143.2,852.1,3.6,60.8,63.1
2005-06,24028.1,14054.6,23152.2,875.9,3.6,60.8,63.1
2005-07,23991.1,14126.0,23105.9,885.2,3.7,60.6,62.9
2005-08,23619.4,14539.7,22778.8,840.6,3.6,59.7,61.9
2005-09,23863.4,14340.9,22996.4,866.9,3.6,60.2,62.5
2005-10,24014.5,14232.9,23145.3,869.2,3.6,60.5,62.8
2005-11,23949.7,14342.2,23164.4,785.2,3.3,60.5,62.5
2005-12,23516.8,14813.7,22684.6,832.2,3.5,59.2,61.4
2006-01,23346.6,15034.0,22469.8,876.8,3.8,58.5,60.8
2006-02,23373.6,15050.3,22413.0,960.6,4.1,58.3,60.8
2006-03,23783.4,14681.0,22852.1,931.3,3.9,59.4,61.8
2006-04,24098.1,14413.9,23247.3,850.8,3.5,60.4,62.6
2006-05,24285.7,14276.2,23496.5,789.2,3.2,60.9,63.0
2006-06,24343.2,14269.2,23520.3,822.9,3.4,60.9,63.0
2006-07,24309.7,14351.1,23475.9,833.9,3.4,60.7,62.9
2006-08,24027.1,14682.2,23211.4,815.7,3.4,60.0,62.1
2006-09,24168.4,14582.5,23391.6,776.8,3.2,60.4,62.4
2006-10,24337.9,14458.6,23536.9,801.1,3.3,60.7,62.7
2006-11,24323.1,14510.6,23546.6,776.5,3.2,60.6,62.6
2006-12,23888.4,14985.7,23095.4,793.1,3.3,59.4,61.5
2007-01,23709.3,15215.3,22846.2,863.1,3.6,58.7,60.9
2007-02,23659.8,15305.1,22790.5,869.3,3.7,58.5,60.7
2007-03,24082.4,14924.5,23235.4,847.0,3.5,59.6,61.7
2007-04,24453.7,14595.3,23629.4,824.3,3.4,60.5,62.6
2007-05,24648.4,14450.3,23862.9,785.5,3.2,61.0,63.0
2007-06,24701.9,14447.5,23919.7,782.2,3.2,61.1,63.1
2007-07,24667.4,14529.8,23865.3,802.0,3.3,60.9,62.9
2007-08,24347.0,14901.7,23581.5,765.4,3.1,60.1,62.0
2007-09,24487.1,14813.1,23759.1,728.0,3.0,60.5,62.3
2007-10,24642.8,14713.5,23904.6,738.2,3.0,60.7,62.6
2007-11,24643.4,14762.9,23906.5,736.8,3.0,60.7,62.5
2007-12,24173.3,15282.9,23432.2,741.0,3.1,59.4,61.3
2008-01,23920.9,15592.8,23141.2,779.7,3.3,58.6,60.5
2008-02,23893.5,15670.1,23064.7,828.8,3.5,58.3,60.4
2008-03,24308.9,15302.3,23490.0,818.9,3.4,59.3,61.4
2008-04,24698.8,14960.6,23907.4,791.4,3.2,60.3,62.3
2008-05,24904.8,14803.8,24143.8,761.0,3.1,60.8,62.7
2008-06,24944.1,14815.2,24174.4,769.7,3.1,60.8,62.7
2008-07,24886.7,14924.0,24114.3,772.4,3.1,60.6,62.5
2008-08,24593.3,15259.0,23824.5,768.7,3.1,59.8,61.7
2008-09,24664.5,15228.6,23935.6,728.9,3.0,60.0,61.8
2008-10,24787.3,15145.7,24044.7,742.5,3.0,60.2,62.1
2008-11,24771.5,15207.1,24016.5,755.0,3.0,60.1,62.0
2008-12,24233.3,15788.1,23440.7,792.5,3.3,58.6,60.6
2009-01,23907.4,16177.6,23051.1,856.2,3.6,57.5,59.6
2009-02,23862.5,16259.4,22929.6,932.9,3.9,57.1,59.5
2009-03,24255.7,15901.6,23295.1,960.6,4.0,58.0,60.4
2009-04,24649.0,15545.9,23709.8,939.2,3.8,59.0,61.3
2009-05,24846.8,15390.8,23904.0,942.8,3.8,59.4,61.8
2009-06,25114.2,15165.5,24148.4,965.8,3.8,60.0,62.3
2009-07,24938.4,15385.5,24006.3,932.1,3.7,59.5,61.8
2009-08,24703.8,15663.7,23797.1,906.6,3.7,59.0,61.2
2009-09,24811.1,15592.8,23982.5,828.6,3.3,59.4,61.4
2009-10,24842.0,15599.3,24038.3,803.7,3.2,59.4,61.4
2009-11,24806.9,15674.8,23982.8,824.2,3.3,59.2,61.3
2009-12,24244.5,16276.0,23406.3,838.2,3.5,57.8,59.8
2010-01,24258.3,16336.3,23040.7,1217.6,5.0,56.8,59.8
2010-02,24217.0,16413.2,23047.4,1169.6,4.8,56.7,59.6
2010-03,24567.1,16100.2,23559.9,1007.2,4.1,57.9,60.4
2010-04,25052.5,15650.7,24116.4,936.1,3.7,59.2,61.5
2010-05,25292.7,15455.0,24495.1,797.6,3.2,60.1,62.1
2010-06,25352.3,15435.8,24474.2,878.1,3.5,60.0,62.2
2010-07,25435.2,15405.1,24499.6,935.6,3.7,60.0,62.3
2010-08,25050.5,15838.9,24214.3,836.2,3.3,59.2,61.3
2010-09,25133.9,15798.9,24270.2,863.8,3.4,59.3,61.4
2010-10,25236.0,15743.3,24398.0,838.0,3.3,59.5,61.6
2010-11,25091.5,15939.7,24346.6,744.9,3.0,59.3,61.2
2010-12,24790.2,16300.0,23931.3,858.9,3.5,58.2,60.3
2011-01,24362.4,16778.7,23438.9,923.5,3.8,57.0,59.2
2011-02,24693.5,16492.6,23589.2,1104.3,4.5,57.3,60.0
2011-03,25192.9,16041.9,24114.2,1078.7,4.3,58.5,61.1
