date,자살자수
2019-01,1114
2019-02,971
2019-03,1182
2019-04,1131
2019-05,1274
2019-06,1108
2019-07,1248
2019-08,1152
2019-09,1093
2019-10,1248
2019-11,1098
2019-12,1180
2020-01,1092
2020-02,993
2020-03,1149
2020-04,1120
2020-05,1152
2020-06,1135
2020-07,1228
2020-08,1185
2020-09,1020
2020-10,1147
2020-11,1061
2020-12,913
2021-01,998
2021-02,1012
2021-03,1321
2021-04,1210
2021-05,1176
2021-06,1258
2021-07,1128
2021-08,1080
2021-09,1072
2021-10,1072
2021-11,983
2021-12,1042
2022-01,1004
2022-02,879
2022-03,1109
2022-04,1198
2022-05,1181
2022-06,1065
2022-07,1124
2022-08,1098
2022-09,1096
2022-10,1129
2022-11,987
2022-12,1036
2023-01,1007
2023-02,1072
2023-03,1281
2023-04,1185
2023-05,1317
2023-06,1280
2023-07,1229
2023-08,1220
2023-09,1169
2023-10,1150
2023-11,1015
2023-12,1053
2024-01,1372
2024-02,1244
2024-03,1353
2024-04,1354
2024-05,1296
2024-06,1225
2024-07,1229
2024-08,1134
2024-09,1160
2024-10,1217
2024-11,1130
2024-12,1158
2025-01,1077
2025-02,1103
2025-03,1270
2025-04,1248
2025-05,1187
2025-06,1223
2025-07,1140
2025-08,1125
2025-09,1167
2025-10,1125
2025-11,1016
